ID,X,Y,age
7725,6.035021088,24.18294605,456
6804,11.08510667,4.779465285,641
8573,20.41160048,28.24809315,287
8662,25.97655397,20.66064102,269
5849,26.98930035,30.37460304,832
3928,-0.079970346,29.39209236,1216
6821,15.65355715,7.14132993,637
8928,13.72003394,8.627161185,216
2995,28.70755659,2.818666905,1402
8932,27.46047482,10.42103144,215
8788,15.92524824,11.23647873,244
1916,23.52915092,21.23291436,1618
7572,20.87638541,15.11011235,487
8811,28.29819956,11.10088047,239
2625,4.336004404,19.9299811,1476
8684,20.91591759,24.74090444,265
3731,21.70273216,30.93016354,1255
959,8.526233322,31.80521505,1810
8827,22.48963551,4.020428285,236
3534,16.45629226,18.74796165,1295
2580,6.311747329,27.40744017,1485
7939,12.97228046,29.14910135,414
7898,6.599915851,0.472886065,422
6801,5.566203866,5.950747819,641
7941,17.96114669,9.253491557,413
8888,12.26492557,9.996647706,224
5833,7.994525692,29.11425327,835
8625,15.14230666,0.723908609,276
2919,7.582922816,3.006528972,1418
8871,25.95125525,22.97479371,227
1601,29.30175113,2.742947054,1681
6647,18.48300707,-0.245543718,672
4913,0.605123418,25.34818801,1019
8956,26.45883764,20.68022898,210
8600,14.94337903,29.60787262,281
4987,19.15304748,22.63117306,1004
8893,12.40657373,-0.180918609,223
8707,30.04055086,22.24715656,260
7951,14.96834123,8.431143751,411
7695,24.09923951,20.50223827,462
6732,23.39407157,7.879837159,655
6933,21.18878918,5.692429876,615
8825,31.50630705,4.083406734,236
3657,28.34188637,11.90945373,1270
8948,25.55696244,26.42787749,212
6619,6.896567196,4.362035002,678
8770,23.2029585,31.89842442,247
6668,16.9806517,9.103271322,668
8703,23.83604377,-0.131302877,261
8897,3.023298223,3.758482452,222
3869,10.40346221,-0.485110007,1228
8585,10.57956117,2.9521564,284
7632,7.366598892,31.7657869,475
8773,30.97759221,7.865122964,247
8783,29.10575616,3.11544904,245
8777,0.801360386,9.148959048,246
6733,31.64966632,29.26177961,655
5876,25.03053364,16.25227744,826
8616,29.16757381,5.636589959,278
8852,31.34253842,1.39661515,231
5655,30.43039866,10.56380611,870
7607,17.70838755,29.89711067,480
8864,28.12628528,11.30025668,229
2886,4.424925279,13.43206789,1424
2993,27.01118511,4.848934462,1403
7969,21.07211755,3.232044504,408
8716,26.39752274,25.48312713,258
6676,27.01857163,29.87283086,666
7956,7.040700904,23.85468561,410
8862,26.83211366,0.071957687,229
8682,28.55269506,4.406319238,265
8786,29.98907073,17.24483579,244
8766,27.66064237,-0.43615878,248
2626,-0.376836562,28.54894243,1476
7805,5.206511733,2.047109527,440
1529,3.068907376,16.0712575,1696
6001,11.30131385,27.27769732,801
6699,19.31805081,4.337222561,662
8655,18.70044398,2.151542085,270
5555,18.59799808,20.41284698,890
6929,10.76332333,12.08911885,616
8539,27.34333093,3.55925226,294
6792,19.82470017,10.69949433,643
6969,9.960377779,6.750623866,608
8728,27.82917808,-0.112309346,256
8945,18.63186643,4.522872481,212
7667,28.98164035,29.31885221,468
2880,26.06933078,28.50537178,1425
8578,2.120143786,18.05459763,286
5935,13.52057932,5.479382067,814
8833,30.16313576,24.55176628,235
8930,22.51183982,14.33922583,215
8617,20.13599971,3.817895171,278
1612,26.25209989,15.15443745,1679
7990,5.899037695,31.29910262,403
3774,25.01156804,32.48090089,1247
6680,11.49463138,4.566402057,665
506,0.036440838,16.57590593,1900
8758,8.756770372,25.67095,250
8522,19.51885316,6.314800501,297
