ID,X,Y,age
802,25.78422643,15.15638369,1841
7201,21.23254744,29.01891441,561
5942,-0.08239795,20.18949872,813
4285,1.772167117,2.20338936,1144
6665,29.60050387,7.792166823,668
8028,20.00639219,1.760977784,396
4176,21.56084058,6.552592734,1166
6683,7.109543536,17.49030964,665
6538,28.66344029,13.05913436,694
3469,4.372755241,24.60831291,1308
6713,28.21836142,5.695279463,659
2521,14.94441647,30.12963716,1497
7465,29.55729214,21.46253348,508
7932,18.4030701,21.43610468,415
3023,2.916368092,5.693710526,1397
7163,12.38280747,24.415398,569
6042,8.234459475,7.572706621,793
8433,8.113058915,13.9554362,315
2143,30.42287464,31.32517201,1573
1259,22.26839807,17.46211463,1750
4493,18.32080573,26.42259518,1103
1169,2.926488795,8.855238335,1768
4376,25.33868078,11.57161609,1126
6308,21.224983,26.74391844,740
4694,6.522357926,6.531542771,1063
7413,5.106216586,15.33920611,519
5901,3.832292838,29.76684398,821
7618,31.37875807,29.77539683,478
1384,22.07936923,23.39351342,1725
3050,1.695317167,20.16692418,1391
233,3.208526016,1.061112669,1955
2144,16.02594602,22.59438586,1573
2093,29.5711184,13.25080154,1583
3773,19.45529808,1.117190033,1247
964,30.71759957,30.4499116,1809
1369,13.34633876,8.698363715,1728
8722,30.41576368,0.936395274,257
2902,12.93469654,10.12243267,1421
1492,23.19975368,0.589615462,1703
7068,1.633736914,18.09064979,588
8030,21.48803567,24.20552985,395
7150,18.10719428,13.80168649,571
6884,19.93978673,26.2812979,625
1225,2.362896741,2.922409164,1756
469,29.51814313,26.30513504,1908
8851,0.122463873,12.99451696,231
2519,27.56561655,6.53018375,1498
6080,23.92812194,3.481522619,785
4638,1.41355143,31.59661863,1074
1744,25.92325832,-0.173177683,1653
3864,29.09118682,24.70873169,1229
8376,17.21978897,18.01623633,326
1881,20.44079023,1.647552648,1625
8707,30.04055086,22.24715656,260
1561,3.488179738,30.55793005,1689
1746,20.78969398,22.05240694,1652
590,24.52330436,12.72692061,1883
5425,21.329636,18.27959589,916
5653,1.117477094,-0.257277025,871
8120,8.436947571,21.76483606,377
7822,32.34597992,5.28341562,437
2607,19.16462061,1.900955799,1480
5438,24.13837746,24.51933954,914
7365,19.17390588,19.17183405,528
6041,1.761758943,12.75913825,793
2265,19.49976384,19.56667995,1548
261,4.041466919,7.74722561,1949
7827,11.61634059,27.14683944,436
95,17.25025651,0.408575635,1982
6632,29.06051825,30.46154611,675
4220,7.207163575,10.03213251,1157
8346,18.95735191,27.51375703,332
5041,30.44747962,24.60969736,993
816,11.58584669,2.062042305,1838
5916,24.32679204,22.04229467,818
2595,14.89292998,19.74542564,1482
7976,17.52224098,10.11337533,406
5340,2.776444139,22.22245371,933
8582,28.28312313,2.243966337,285
5293,11.99351511,23.37025492,943
5585,21.92045401,4.920748111,884
582,4.699506476,5.910049941,1885
3059,2.83994045,0.710355838,1390
2646,20.40278531,8.287174958,1472
2501,19.39642575,10.84219121,1501
3376,0.370330403,1.323590276,1326
251,0.778297157,24.78169962,1951
1580,10.99044789,27.92297232,1685
126,11.07971424,5.726476856,1976
47,13.97394005,16.64330716,1992
8820,8.481909247,3.948176981,237
8918,11.21333937,30.44638402,218
6388,19.22502665,20.4889987,724
2175,27.84951556,3.74478993,1566
3929,7.158901329,21.63944936,1216
2645,20.78521958,2.855702946,1472
4324,22.05564491,18.77305079,1137
5541,5.457057975,12.94367603,893
940,5.941803201,1.191954551,1813
4250,28.72571359,13.6961949,1151
