ID,X,Y,age
700,5.927485239,21.12972114,1861
203,21.657899,16.07779704,1961
7037,32.34412117,2.144188247,594
7178,15.9563645,15.33691729,566
8262,22.16943571,21.19522297,349
819,17.4595619,19.53415388,1838
8007,22.15049414,30.76893534,400
4693,1.526687268,9.255905334,1063
8122,23.19442121,3.687712594,377
6802,9.957827764,25.35821213,641
236,26.38726521,17.31033913,1954
5285,23.80443349,20.73465552,944
6981,12.71816707,19.59217438,605
8810,32.35748926,28.81747668,239
5032,26.72795765,21.05948654,995
7042,6.957985907,8.704700022,593
5868,19.35507039,13.63573662,828
7994,30.3157379,17.70207707,403
4358,4.107184391,26.46140653,1130
7338,8.62472114,32.02596954,534
8078,9.973025025,4.592071544,386
2013,30.91270934,10.83279769,1599
7111,0.784539835,12.74904281,579
3232,3.589303942,26.75654506,1355
7842,12.35095024,22.19716685,433
7390,3.173666704,29.40237047,523
5716,24.09222504,14.69156296,858
6498,25.0358837,20.46909911,702
6710,18.52249087,14.46156859,659
7887,28.52237041,5.837981422,424
5185,21.6930895,-0.239513372,964
4385,17.36746218,27.66030077,1124
4135,18.54575001,11.691363,1174
6527,23.29049185,13.89643799,696
5497,18.0126951,21.18039055,902
7376,11.85329481,21.76605099,526
2847,9.897877448,21.72921778,1432
7538,2.40780579,14.21571042,494
5455,28.01187566,2.233246561,910
7504,1.235623122,13.96113446,501
7128,21.73105981,20.77349543,576
7649,25.5785589,10.80503262,472
7795,11.94065605,2.897343162,442
5052,25.23128366,31.76072986,991
8091,15.46215728,21.73782023,383
1338,0.379389579,22.18401634,1734
8709,9.711726745,14.58147963,260
3571,7.015121852,21.82550908,1287
5927,2.951297751,18.11164784,816
6259,23.99725676,22.53000431,750
7520,6.738019165,9.321043626,497
8734,23.70669125,19.25234891,255
3795,30.72684861,29.89075805,1242
7618,31.37875807,29.77539683,478
2674,17.75767011,25.7050368,1467
8567,29.15980547,15.84444745,288
8949,20.35007066,24.26294033,212
5301,22.47917626,29.08040184,941
2763,18.87215629,14.26241699,1449
5336,5.901777502,8.169527893,934
6866,16.21642576,8.166148063,628
7644,20.83799876,28.71107555,473
2365,27.8368015,32.35886527,1528
7856,6.48826079,26.12478475,430
4612,1.115412,6.011959785,1079
8393,0.639379211,6.228788601,323
5057,6.735554009,1.192536739,990
242,21.55670964,16.43823363,1953
4065,6.464006256,30.11649669,1188
4967,16.88996122,16.16056961,1008
7281,15.11141956,31.91183492,545
1425,16.9950201,30.7266764,1716
4517,8.164462111,8.130542948,1098
4970,18.85348201,19.91203559,1007
1848,30.98301039,29.93516902,1632
4298,8.083261333,29.62625235,1142
963,31.05914453,29.7305872,1809
4262,11.79926581,29.50768358,1149
2737,30.24559218,10.20199964,1454
8267,10.2423828,25.35814426,348
3847,21.09479015,24.39156929,1232
7929,3.294952306,19.37290725,416
3439,7.413616958,9.073317813,1314
499,15.7241219,8.281322287,1902
3113,6.979677285,22.35348364,1379
5182,30.15804289,10.71151968,965
2993,27.01118511,4.848934462,1403
3738,28.85379944,20.37415293,1254
5410,2.250450221,10.54028195,919
4835,17.0608691,26.68187095,1034
3754,15.01322695,4.7446186,1251
37,30.32071274,7.311038012,1994
3604,14.60583082,3.654809315,1281
7990,5.899037695,31.29910262,403
8119,9.362617554,5.033078812,378
4242,9.226623752,9.465545836,1153
290,10.12921886,15.61943088,1943
5440,7.572868302,21.30391532,913
6743,0.506575625,6.448592231,653
2890,0.746417675,17.6712429,1423
